to,from,points
FRA,ALB,0
ITA,ALB,4
BGR,ALB,0
AUS,ALB,7
PRT,ALB,10
SWE,ALB,0
BEL,ALB,12
ISR,ALB,0
GBR,ALB,6
GRC,ALB,2
DEU,ALB,8
AZE,ALB,3
ALB,ALB,0
HRV,ALB,0
UKR,ALB,5
FIN,ALB,0
ESP,ALB,0
ARM,ALB,0
CYP,ALB,0
IRL,ALB,0
NLD,ALB,0
AUT,ALB,0
DNK,ALB,0
HUN,ALB,0
CHE,ALB,0
SRB,ALB,0
FRA,ARM,0
ITA,ARM,12
BGR,ARM,6
AUS,ARM,5
PRT,ARM,2
SWE,ARM,0
BEL,ARM,8
ISR,ARM,0
GBR,ARM,1
GRC,ARM,0
DEU,ARM,0
AZE,ARM,4
ALB,ARM,7
HRV,ARM,3
UKR,ARM,0
FIN,ARM,0
ESP,ARM,0
ARM,ARM,0
CYP,ARM,0
IRL,ARM,10
NLD,ARM,0
AUT,ARM,0
DNK,ARM,0
HUN,ARM,0
CHE,ARM,0
SRB,ARM,0
FRA,AUS,0
ITA,AUS,0
BGR,AUS,3
AUS,AUS,0
PRT,AUS,0
SWE,AUS,7
BEL,AUS,4
ISR,AUS,5
GBR,AUS,0
GRC,AUS,8
DEU,AUS,10
AZE,AUS,1
ALB,AUS,0
HRV,AUS,0
UKR,AUS,0
FIN,AUS,0
ESP,AUS,0
ARM,AUS,0
CYP,AUS,6
IRL,AUS,0
NLD,AUS,0
AUT,AUS,0
DNK,AUS,2
HUN,AUS,12
CHE,AUS,0
SRB,AUS,0
FRA,AZE,0
ITA,AZE,12
BGR,AZE,5
AUS,AZE,7
PRT,AZE,8
SWE,AZE,1
BEL,AZE,6
ISR,AZE,0
GBR,AZE,0
GRC,AZE,0
DEU,AZE,2
AZE,AZE,0
ALB,AZE,0
HRV,AZE,0
UKR,AZE,0
FIN,AZE,0
ESP,AZE,0
ARM,AZE,4
CYP,AZE,10
IRL,AZE,0
NLD,AZE,0
AUT,AZE,0
DNK,AZE,0
HUN,AZE,3
CHE,AZE,0
SRB,AZE,0
FRA,BEL,0
ITA,BEL,12
BGR,BEL,10
AUS,BEL,5
PRT,BEL,4
SWE,BEL,6
BEL,BEL,7
ISR,BEL,0
GBR,BEL,3
GRC,BEL,1
DEU,BEL,0
AZE,BEL,2
ALB,BEL,0
HRV,BEL,0
UKR,BEL,0
FIN,BEL,0
ESP,BEL,0
ARM,BEL,0
CYP,BEL,0
IRL,BEL,0
NLD,BEL,0
AUT,BEL,8
DNK,BEL,0
HUN,BEL,0
CHE,BEL,0
SRB,BEL,0
FRA,CYP,0
ITA,CYP,10
